"Starfsemi","ÍSAT2008"
"Fjaðrir í úr og klukkur, framleiðsla","26520"
"Fjallaskálar","55200"
"Fjargæsla öryggiskerfa","80200"
"Fjarskiptabúnaður, framleiðsla","26300"
"Fjarskiptabúnaður, heildsala","46520"
"Fjarskiptabúnaður, sérhæfður, rekstur","61900"
"Fjarskiptabúnaður, smásala","47420"
"Fjarskiptakerfi, uppsetning","43210"
"Fjarskipti um gervihnött, rekstur","61300"
"Fjarskipti um streng, rekstur","61100"
"Fjarskipti, bygging þjónustumannvirkja","42220"
"Fjarskipti, þráðlaus, rekstur","61200"
"Fjarstýringar, framleiðsla","26300"
"Fjarverslun","47910"
"Fjárfesting fyrir eigin reikning","64990"
"Fjárfestingarlánasjóðir","64920"
"Fjárfestingarráðgjöf","66190"
"Fjárfestingasjóðir","64300"
"Fjárhættuspil á Netinu, rekstur","92000"
"Fjármál hins opinbera","84110"
"Fjármálaráðuneytið","84110"
"Fjármögnunarleiga","64910"
"Fjárvörslusjóðir","64300"
"Fjáröflunarþjónusta gegn þóknun","82990"
"Fjölbrautaskólar","85310"
"Fjölföldun hljóðritaðs efnis","18200"
"Fjölföldun myndefnis","18200"
"Fjölföldun tölvuefnis","18200"
"Fjölföldun upptekins efnis","18200"
"Fjölliður, framleiðsla","20160"
"Fjölmiðlavöktun","63990"
"Fjölritun, prentun","18120"
"Fjölritunarvélar, framleiðsla","28230"
"Fjölskylduráðgjöf","88990"
"Flatál, framleiðsla","24420"
"Flatkökur, framleiðsla","10710"
"Flauel, vefnaður","13200"
"Flísalagning","43330"
"Flísar úr eldföstum leir, framleiðsla","23200"
"Flísar úr leir eða postulíni, framleiðsla","23310"
"Flísar úr steinsteypu, framleiðsla","23610"
"Flísar, eldfastar, framleiðsla","23200"
"Flísar, gler, framleiðsla","23190"
"Flísar, keramík, óeldfastar, framleiðsla","23310"
"Fljótandi landgöngubrýr, framleiðsla","30110"
"Flokkunarvélar fyrir skrifstofur, framleiðsla","28230"
"Flosefni, prjónað, framleiðsla","13910"
"Flotbryggjur, framleiðsla","30110"
"Flotgler, framleiðsla","23110"
"Flotgler, heildsala","46730"
"Flotgler, skurður og vinnsla","23120"
"Flotgler, smásala","47521"
"Flotkranar, framleiðsla","30110"
"Flóðgarðar, bygging","42910"
"Flóki, framleiðsla","13990"
"Flóttamannabúðir","88990"
"Flóttamannaráðgjöf","88990"
"Flugafgreiðsla","52230"
"Flugbrautir, lagning","42110"
"Flugeldar, framleiðsla","20510"
"Flugeldar, heildsala","46490"
"Flugeldhús","56210"
"Flugfrakt","51210"
"Flugmótorar, framleiðsla","30300"
"Flugmótorar, viðgerð","33160"
"Flugskólar, atvinnuflugmenn","85320"
"Flugskólar, einkaflugmenn","85530"
"Flugstöðvar","52230"
"Flugstöðvar, rekstur","52230"
"Flugumferðarstjórn","52230"
"Flugvallarútur, rekstur","49310"
"Flugvellir, rekstur","52230"
"Flugvélar, framleiðsla","30300"
"Flugvélar, umboðsverslun","46140"
"Flugvélaverkfræðingar","71121"
"Flugvélaverksmiðjur","30300"
"Flutningamiðlun","52290"
"Flutningar eftir leiðslum","49500"
"Flutningaskip, smíði","30110"
"Flutningsgámar, framleiðsla","29200"
"Flutningsþjónusta","49420"
"Flúrperur, framleiðsla","27400"
"Flögg, framleiðsla","13920"
"Flögg, smásala","47789"
"Flögubergsnám","08110"
"Flöskugas, smásala","47789"
"Flöskur úr gleri eða kristal, framleiðsla","23130"
"Flöskur, gler, framleiðsla","23130"
"Flöskur, málmur, framleiðsla","25990"
"Flöskur, plast, framleiðsla","22229"
"Foreldrafélög","94999"
"Fornbókasalar","47790"
"Fornbókaverslanir","47790"
"Fornmunaverslanir","47790"
"Fornmunir, heildsala","46490"
"Fornmunir, smásala","47790"
"Forritun","62010"
"Forritun, aðlögun hugbúnaðar","62010"
"Forseti Íslands","84110"
"Forsmíðaðar byggingar að mestu úr járni, framleiðsla","25110"
"Forsmíðaðar byggingar, heildsala","46730"
"Forsmíðaðar byggingareiningar úr steinsteypu, framleiðsla","23610"
"Forsmíðaðar byggingareiningar úr timbri, framleiðsla","16230"
"Forsætisráðuneytið","84110"
"Fosföt, nám","08910"
"Fóðurblöndur fyrir gæludýr, framleiðsla","10920"
"Fóðurblöndur fyrir húsdýr, framleiðsla","10910"
"Fóðurblöndur, framleiðsla","10910"
"Fóðurbætiefni, heildsala","46760"
"Fóðurbætir, framleiðsla","10910"
"Fóðurkál og áþekkar fóðurvörur, ræktun","01199"
"Fóðurmaís, ræktun","01199"
"Fóðurrófur, ræktun","01199"
"Fóðurvogir, heildsala","46610"
"Fólksbílar, framleiðsla","29100"
"Fólksbílar, heildsala og smásala","45110"
"Fólksbílar, smásala","45110"
"Fótaaðgerðafræðingar","86909"
"Fótameinafræðingar","86909"
"Fótboltavellir, rekstur","93110"
"Frakkar, framleiðsla","14130"
"Frakkar, heildsala","46420"
"Frakkar, smásala","47711"
"Framhaldsskólar, bóknám","85310"
"Framhaldsskólar, iðn- og verknám","85320"
"Framleiðendur, sviðslistir","90020"
"Framlengingarsnúrur, framleiðsla","27900"
"Franskar kartöflur, framleiðsla","10310"
"Frágangur bygginga, lokafrágangur","43390"
"Frágangur fatnaðar","13300"
"Frágangur textíla","13300"
"Frárennslisrör, viðhald og hreinsun","37000"
"Fráveitur","37000"
"Fráveitur, smíði tengdra mannvirki","42210"
"Freyðivín, framleiðsla","11020"
"Fréttaljósmyndarar, sjálfstætt starfandi","74200"
"Fréttamenn, sjálfstætt starfandi","90030"
"Fréttastofur, sjálfstætt starfandi","63910"
"Frímerki, heildsala","46490"
"Frímerki, smásala","47789"
"Frímerkjaklúbbar","94999"
"Frímerkjaverslun","47789"
"Frímerkjavélar, framleiðsla","28230"
"Frístundaheimili","88912"
"Frísvæði","52100"
"Frotte-efni, prjónað eða heklað, framleiðsla","13910"
"Frystar til heimilisnota, framleiðsla","27510"
"Frystar, heildsala","46430"
"Frystar, smásala","47540"
"Frystihús","10201"
"Frystikerfi, ekki fyrir heimili, framleiðsla","28250"
"Frysting á humri","10201"
"Frysting á hvalkjöti","10110"
"Frysting á hörpudiski","10201"
"Frysting á kartöflum","10310"
"Frysting á loðnu","10201"
"Frysting á rækju","10201"
"Frysting loðnuhrogna","10201"
"Frystiskápar, smásala","47540"
"Frystiskip, útgerð","03112"
"Frystitogarar, útgerð","03112"
"Frystivélar til iðnaðarnota, framleiðsla","28250"
"Frystivélar til iðnaðarnota, viðgerð","33120"
"Fræ, heildsala","46210"
"Fræ, smásala","47761"
"Fræ, vinnsla","01640"
"Fræðafélög, starfsemi","94120"
"Fræðslustarfsemi","85"
"Fræðslustarfsemi á viðbótarstigi","85410"
"Fræsing málma","25620"
"Fræslustarfsemi á háskólastigi","85420"
"Fullorðinsfræðsla, iðn- og verknám","85320"
"Fúavarnarefni, framleiðsla","20300"
"Fúavörn","16100"
"Fylgdarþjónusta","96090"
"Fylgihlutir með fatnaði, heildsala","46420"
"Fylgihlutir með fatnaði, smásala","47711"
"Fylliefni, framleiðsla","20300"
"Fyrirlesarar, sjálfstætt starfandi","90010"
"Fyrirtækjasala","74900"
"Fæðingarorlof, greiðslur bóta","84300"
"Fæðurbótaefni, framleiðsla","10890"
"Fægiefni til hreingerningar, framleiðsla","20410"
"Fægiefni, framleiðsla","20410"
"Fægiefni, heildsala","46442"
"Færanleg veitingasala","56100"
"Færanlegir skilveggir, uppsetning","43320"
"Færibönd úr gúmmíi, framleiðsla","22190"
"Færibönd úr plasti, framleiðsla","22290"
"Færibönd, framleiðsla","28220"
"Förðunarvörur, framleiðsla","20420"
"Förgun hættulegs úrgangs","38220"
"Fötur úr málmi, framleiðsla","25910"
"Gaddavír, framleiðsla","25930"
"Gagnabjörgun","62090"
"Gagnasamskiptabúnaður, framleiðsla","26300"
"Gagnavhýsing","63110"
"Gagnavinnsla","63110"
"Gallerí","47783"
"Galvanísering","25610"
"Gammosíur, framleiðsla","14310"
"Gardínuefni, framleiðsla","13910"
"Gardínuefni, heildsala","46410"
"Gardínuefni, smásala","47510"
"Garðhúsgögn, framleiðsla","31090"
"Garðhúsgögn, smásala","47521"
"Garðplöntur, ræktun","01300"
"Garðplöntur, smásala","47761"
"Garðsláttuvélar, framleiðsla","28300"
"Garðsláttuvélar, heildsala","46610"
"Garðsláttuvélar, smásala","47521"
"Garðstöðvar, smásala","47761"
"Garðtæki í sérverslun, smásala","47521"
"Garðverkfæri, framleiðsla","25730"
"Garðverkfæri, heildsala","46610"
"Garðyrkjufélög","94999"
"Garn úr syntetísku eða gerviþráði, framleiðsla","20600"
"Garn úr tilbúnum trefjum, framleiðsla","20600"
"Garn, framleiðsla","13100"
"Garn, heildsala","46410"
"Garn, smásala","47510"
"Gas til iðnaðar, framleiðsla","20110"
"Gas, dreifing","35220"
"Gas, framleiðsla","35210"
"Gas, viðskipti með","35230"
"Gas, vinnsla","06200"
"Gas, þjónusta","09100"
"Gasbúnaður, uppsetning","43220"
"Gasframleiðsla, úr kolum","19100"
"Gasgrímur, framleiðsla","32990"
"Gashitunarkerfi, uppsetning og viðgerð","43220"
"Gashverflar, framleiðsla","28110"
"Gasolía, framleiðsla","19200"
"Gatarar fyrir skrifstofur, framleiðsla","28230"
"Gatnagerð","42110"
"Gámar til flutninga, framleiðsla","29200"
"Geimfarartæki, framleiðsla","30300"
"Geimflutningar","51220"
"Geimskot gervihnatta og geimfarartækja","51220"
"Geisladiskar (cd), áteknir, heildsala","46430"
"Geisladiskar (cd), fjölföldun","18200"
"Geisladiskar (cd), óáteknir, heildsala","46520"
"Geisladiskar (cd), smásala","47630"
"Geisladiskar (cd), upptaka","59200"
"Geisladiskar (cd), útgáfa","59200"
"Geisladiskar (cd), útleiga","77220"
"Geisladiskaspilarar, framleiðsla","26400"
"Geisladiskaspilarar, heildsala","46430"
"Geisladiskaspilarar, smásala","47430"
"Geisladrif, framleiðsla","26200"
"Geislamælar, framleiðsla","26510"
"Geislaspilarar, smásala","47430"
"Geislavirk frumefni, framleiðsla","24460"
"Geislskynjarar, framleiðsla","26510"
"Geislunarbúnaður, framleiðsla","26600"
"Geislunartæki, viðgerð og viðhald","33130"
"Geitaeldi","01450"
"Geitamjólk, framleiðsla","01450"
"Geitur, slátrun","10110"
"Gelatín, framleiðsla","20590"
"Ger, framleiðsla","10890"
"Ger, heildsala","46330"
"Gerviblóm, framleiðsla","32990"
"Gervigúmmí, óunnið, framleiðsla","20170"
"Gervihnattadiskar, framleiðsla","26300"
"Gervihnattadiskar, heildsala","46430"
"Gervihnattadiskar, smásala","47430"
"Gervihnettir, framleiðsla","30300"
"Gervihunang, framleiðsla","10890"
"Gervihunang, heildsala","46389"
"Gervileður, framleiðsla","15110"
"Gervileður, heildsala","46240"
"Gervilíkamshlutar, framleiðsla","32500"
"Gerviloðskinn, ofin, framleiðsla","13200"
"Gerviloðskinn, prjónuð, framleiðsla","13910"
"Gerviloðskinn, vefnaður","13200"
"Gervitennur, framleiðsla","32500"
"Gervitungl, framleiðsla","30300"
"Gerviþráður, framleiðsla","20600"
"Getraunastarfsemi","92000"
"Geymslustarfsemi","52100"
"Gifs, framleiðsla","23520"
"Gifs, nám","08110"
"Gifsplötur, framleiðsla","23620"
"Gifsvörur, framleiðsla","23690"
"Gin, framleiðsla","11010"
"Girðingar, uppsetning","43990"
"Girðingarnet, framleiðsla","25930"
"Gistiheimili án veitingaþjónstu","55102"
"Gistiheimili með veitingaþjónustu","55101"
"Gínur","32990"
"Gírkassar fyrir ökutæki, framleiðsla","29320"
"Gjafavörur, heildsala","46490"
"Gjafavörur, smásala","47789"
"Gjafavöruverslanir","47789"
"Gjaldeyrisviðskipti","66120"
"Gjallull, framleiðsla","23990"
"Gler í úr og klukkur, framleiðsla","23190"
"Gler, hert, framleiðsla","23120"
"Gler, litað, framleiðsla","23110"
"Gler, skyggt, framleiðsla","23110"
"Gler, vírbent, framleiðsla","23110"
"Gler, vírlagt, framleiðsla","23110"
"Gleraugnaverslanir","47781"
"Gleraugu, framleiðsla","32500"
"Gleraugu, smásala","47781"
"Glerblástur","23130"
"Glereinangrarar, framleiðsla","23190"
"Glerílát, framleiðsla","23130"
"Glerjun","43342"
"Glermunir, blásnir, framleiðsla","23130"
"Glerplötur, heildsala","46730"
"Glerrör, framleiðsla","23190"
"Glerslípun","23120"
"Glerstangir, framleiðsla","23190"
"Glersteinar, framleiðsla","23190"
"Glerstyttur, framleiðsla","23190"
"Glertrefjar, framleiðsla","23140"
"Glerull, framleiðsla","23140"
"Glervörur, heildsala","46441"
"Glervörur, smásala","47599"
"Gljáslípun málma","25610"
"Gljásteinar, nám","08990"
"Glóperur, framleiðsla","27400"
"Gluggar, ísetning","43320"
"Gluggar, málmur, framleiðsla","25120"
"Gluggar, plast, framleiðsla","22230"
"Gluggar, viður, framleiðsla","16230"
"Gluggarammar úr plasti, framleiðsla","22230"
"Gluggatjaldaefni, heildsala","46410"
"Gluggatjöld, framleiðsla","13920"
"Gluggatjöld, plast, framleiðsla","22290"
"Gluggatjöld, smásala","47530"
"Gluggatjöld, textíll, heildsala","46410"
"Gluggaþvottur","81220"
"Glúkósasíróp, framleiðsla","10620"
"Glúkósi, framleiðsla","10620"
"Glúten, framleiðsla","10620"
"Glýseról, hrátt, framleiðsla","20410"
"Glýseról, tilbúið, framleiðsla","20140"
"Glös úr gleri eða kristal, framleiðsla","23130"
"Glös úr plasti, framleiðsla","22290"
"Glös, framleiðsla","23130"
"Glös, heildsala","46441"
"Glös, smásala","47599"
"Golfbílar, framleiðsla","29100"
"Golfklúbbar","93120"
"Golfvellir, bygging","42990"
"Golfvellir, rekstur","93110"
"Gormar, framleiðsla","25930"
"Gosdrykkir, framleiðsla","11070"
"Gosdrykkir, heildsala","46340"
"Góðmálmar, framleiðsla","24410"
"Góðmálmar, heildsala","46720"
"Góðmálmar, hráir, framleiðsla","24410"
"Gólfefni, annað, heildsala","46730"
"Gólfefni, korkur, framleiðsla","16290"
"Gólfefni, plast, framleiðsla","22230"
"Gólfefni, smásala","47530"
"Gólfefni, teppi, heildsala","46470"
"Gólfflísar, framleiðsla","23310"
"Gólfhellur úr brenndum leir, framleiðsla","23320"
"Gólfklæðing úr steinefnum, lagning","43330"
"Gólfklæðingarefni, heildsala","46470"
"Gólflagning","43330"
"Gólflistar úr plasti, framleiðsla","22230"
"Gólfmottur úr textílum, framleiðsla","13930"
"Gólfslípun","43330"
"Gólfteppaverslanir","47530"
"Gólfteppi, framleiðsla","13930"
"Gólfteppi, heildsala","46470"
"Gólfteppi, smásala","47530"
"GPS-staðsetningartæki, framleiðsla","26510"
"Grafísk hönnun","74100"
"Granít, nám","08110"
"Grannskoðun flugvéla","30300"
"Grasagarðar","91040"
"Grasrækt","01290"
"Grájárn, steyptir hlutir, framleiðsla","24510"
"Greiðslukortafyrirtæki","64920"
"Greiður, framleiðsla","32990"
"Greipaldin, ræktun","01230"
"Grill, rafmagn, framleiðsla","27510"
"Grindur, framleiðsla","25930"
"Grisja, vefnaður","13200"
"Grjót, mölun","08110"
"Gróðrarstöðvar fyrir skógartré","02101"
"Gróðrarstöðvar fyrir tré (þó ekki skógartré)","01300"
"Gróðurmoldarblöndur, framleiðsla","20150"
"Grunnskólar","85200"
"Grunnvatn, hreinsun","39000"
"Græðlingar, framleiðsla","01300"
"Grænmeti, heildsala","46310"
"Grænmeti, smásala","47210"
"Grænmeti, vinnsla","10390"
"Grænmetisfræ, ræktun","01139"
"Grænmetiskraftur, heildsala","46340"
"Grænmetisréttir, tilbúnir, framleiðsla","10850"
"Grænmetissafi, framleiðsla","10320"
"Grænmetisþykkni, framleiðsla","10320"
"Gröfur, framleiðsla","28920"
"Gufuböð","96040"
"Gufuböð úr viði, framleiðsla","16230"
"Gufugleypar til heimilisnota, framleiðsla","27510"
"Gufugleypar til heimilisnota, heildsala","46430"
"Gufugleypar til heimilisnota, smásala","47540"
"Gufuhreinsun á veggflötum o.þ.h.","43990"
"Gufuhverflar, framleiðsla","28110"
"Gufukatlar, framleiðsla","25300"
"Gull, heildsala","46720"
"Gull, hrátt, framleiðsla","24410"
"Gull, nám","07290"
"Gullsmiða- / skartgripaverslanir","47770"
"Gullsmíðaverkstæði","32120"
"Gullsmíðaverslanir","47770"
"Gullsmíði","32120"
"Gullvörur, heildsala","46480"
"Gullvörur, smásala","47770"
"Gulrætur, ræktun","01139"
"Gúmmí, heildsala","46760"
"Gúmmí, syntetískt, framleiðsla","20170"
"Gúmmíburstar, framleiðsla","22190"
"Gúmmíbönd, framleiðsla","22190"
"Gúmmídekk, framleiðsla","22110"
"Gúmmídýnur, uppblásanlegar, framleiðsla","22190"
"Gúmmífatnaður, framleiðsla","22190"
"Gúmmíhjólbarðar, framleiðsla","22110"
"Gúmmíhjólbarðar, sólun","22110"
"Gúmmílím, framleiðsla","20520"
"Gúmmípakkningar, framleiðsla","22190"
"Gúmmíplötur, framleiðsla","22190"
"Gúmmíprófílar, framleiðsla","22190"
"Gúmmírör, framleiðsla","22190"
"Gúmmíslöngur í hjólbarða, framleiðsla","22110"
"Gúmmíslöngur, framleiðsla","22110"
"Gúmmíslöngur, heildsala","46760"
"Gúmmíslöngur, smásala","47640"
"Gúmmísólar, framleiðsla","22190"
"Gúmmístigvel, framleiðsla","22190"
"Gúmmístigvel, heildsala","46420"
"Gúmmísvampdýnur, framleiðsla","31030"
"Gúmmítré, ræktun","01290"
"Gúmmívalsar, heildsala","46760"
"Gúmmíþétti, framleiðsla","22190"
"Gúrkur, ræktun","01131"
"Gæludýr, heildsala","46230"
"Gæludýr, ræktun","01499"
"Gæludýr, smásala","47762"
"Gæludýrafóður, framleiðsla","10920"
"Gæludýrafóður, heildsala","46389"
"Gæludýrafóður, smásala","47762"
"Gæludýrasnyrting","96090"
"Gæludýraverslanir","47762"
"Gærur, framleiðsla","10110"
"Gæsir, eldi","01471"
"Göngudeildir sjúkrahúsa","86210"
"Göngustafir, framleiðsla","32990"
"Götuljós, framleiðsla","27400"
"Götumálun","42110"
"Götusópar, framleiðsla","29100"
"Götusópun","81290"
"Hafbeitarstöðvar","03210"
"Hafnarmannvirki, bygging","42910"
"Hafnarmannvirki, rekstur","52220"
"Hafnir, rekstur","52220"
"Hafnsöguþjónusta","52220"
"Hafrahringir, framleiðsla","10610"
"Haframjöl, framleiðsla","10610"
"Hafrar, ræktun","01110"
"Hagsmunafélög, önnur en félög vinnumarkaðarins","94999"
"Hallarmál, framleiðsla","28290"
"Hamborgarastaðir","56100"
"Hamrar, framleiðsla","25730"
"Hamrar, heildsala","46740"
"Handáburður, framleiðsla","20420"
"Handföng úr viði, framleiðsla","16290"
"Handgerður pappír, framleiðsla","17120"
"Handklæðafrotte, vefnaður","13200"
"Handklæði, framleiðsla","13920"
"Handklæði, heildsala","46410"
"Handklæði, smásala","47599"
"Handlaugar, heildsala","46730"
"Handlaugar, málmur, framleiðsla","25990"
"Handlaugar, plast, framleiðsla","22230"
"Handlaugar, postulín, framleiðsla","23420"
"Handlaugar, stál, framleiðsla","25990"
"Handrið úr járni, framleiðsla","25110"
"Handrið úr viði, framleiðsla","16230"
"Handsnyrtivörur, framleiðsla","20420"
"Handsnyrtivörur, heildsala","46450"
"Handsnyrtivörur, smásala","47750"
"Handtöskur, framleiðsla","15120"
"Handvagnar, framleiðsla","30990"
"Handverkfæri, framleiðsla","25730"
"Handverkfæri, heildsala","46740"
"Handverkfæri, vélknúin, framleiðsla","28240"
"Handverksfélög","94999"
"Handþurrkur úr pappír, framleiðsla","17220"
"Handþurrkur úr pappír, heildsala","46490"
"Hanskar, framleiðsla","14190"
"Hanskar, heildsala","46420"
"Hanskar, plast, framleiðsla","22290"
"Hanskar, smásala","47711"
"Happdrætti","92000"
"Harðfiskverkun","10202"
"Harðir diskar, framleiðsla","26800"
"Hattar, framleiðsla","14190"
"Hattar, heildsala","46420"
"Hattar, smásala","47711"
"Hákarl, verkun","10202"
"Hálfeðalsteinar, framleiðsla","32120"
"Hálfleiðarar, framleiðsla","26110"
"Hálfleiðarar, heildsala","46520"
"Hálfunnar vörur úr eðalmálmum, framleiðsla","24410"
"Hálfunnar vörur úr járni, framleiðsla","24100"
"Hálsklútar, framleiðsla","14190"
"Hálsklútar, heildsala","46420"
"Hálsklútar, smásala","47711"
"Hárgreiðslustofur","96021"
"Hárgreiður, framleiðsla","32990"
"Hárklippur, framleiðsla","25710"
"Hárkollur, framleiðsla","32990"
"Hársnyrtivörur, framleiðsla","20420"
"Hársnyrtivörur, heildsala","46450"
"Hárspennur, framleiðsla","32990"
"Háskólabókasöfn","91010"
"Háskólar","85420"
"Hátalarar, framleiðsla","26400"
"Hátalarar, heildsala","46430"
"Hátalarar, smásala","47430"
"Háþrýstidælur, framleiðsla","28290"
"Háþrýstiþvottur bygginga","43990"
"Heflar, framleiðsla","28240"
"Heflun timburs","16100"
"Heftarar, framleiðsla","28230"
"Heftibyssur, véldrifnar, framleiðsla","28240"
"Heiðurspeningar, framleiðsla","32110"
"Heilaskannar, framleiðsla","26600"
"Heilsufæði, smásala","47290"
"Heilsugæslustöðvar","86210"
"Heilsuhæli með læknisþjónustu","86100"
"Heilsuræktarstöðvar","93130"
"Heimahjálp","88100"
"Heimahjúkrun","86909"
"Heimasala","47990"
"Heimavist í skólum","55900"
"Heimaþjónusta","88100"
"Heimili fyrir börn og unglinga","87900"
"Heimilisbúnaður, umboðsverslun","46150"
"Heimilishald með launuðu starfsfólki","97000"
"Heimilishjálp","88100"
"Heimilislæknar","86210"
"Heimilistæki, ekki rafknúin, framleiðsla","27520"
"Heimilistæki, ekki rafknúin, smásala","47599"
"Heimilistæki, rafknúin, framleiðsla","27510"
"Heimilistæki, rafknúin, heildsala","46430"
"Heimilistæki, rafknúin, smásala","47540"
"Heimilistæki, umboðsverslun","46150"
"Heimilistæki, viðgerðir","95220"
"Hekluð voð, framleiðsla","13910"
"Hellulögn","81300"
"Hellur í gólf úr brenndum leir, framleiðsla","23320"
"Hellur úr leir eða postulíni, framleiðsla","23310"
"Hellur úr steinsteypu, framleiðsla","23610"
"Hemlar fyrir bíla, framleiðsla","29320"
"Hengilásar, framleiðsla","25720"
"Herðatré úr viði, framleiðsla","16290"
"Herðing málms","25610"
"Hernaðarökutæki, framleiðsla","30400"
"Herrafataverslanir","47711"
"Herskip, smíði","30110"
"Herskólar","85320"
"Hersla á fiski","10202"
"Hestaíþróttavörur, smásala","47640"
"Hestakerrur, framleiðsla","30990"
"Hestaleigur","93290"
"Hestamannafélög","93120"
"Hestar, ræktun","01430"
"Hestar, slátrun","10110"
"Hestar, tamning","01620"
"Heyrnartól, framleiðsla","26400"
"Heyrnartæki, framleiðsla","26600"
"Heyrnartæki, framleiðsla","32500"
"Heyrnartæki, heildsala","46460"
"Heyrnartæki, smásala","47740"
"Heyrnartæki, viðgerð","33130"
"Héraðsskjalasöfn","91010"
"Hillur í verslanir, framleiðsla","31010"
"Hitabeltisávextir, ræktun","01220"
"Hitaeinangrun, uppsetning","43290"
"Hitaflöskur, framleiðsla","25990"
"Hitalagnaefni, heildsala","46740"
"Hitamælar, aðrir, framleiðsla","26510"
"Hitamælar, lækninga, framleiðsla","32500"
"Hitamælar, lækninga, heildsala","46460"
"Hitastillar, framleiðsla","26510"
"Hitastillar, uppsetning","33200"
"Hitastillilokar, framleiðsla","28140"
"Hitaveitur","35300"
"Hitaveitur, smíði tengdra mannvirki","42210"
"Hitaventlar, framleiðsla","28140"
"Hitunartæki, rafknúin til heimilisnota, framleiðsla","27510"
"Hitunartæki, rafknúin, heildsala","46430"
"Hjarir, framleiðsla","25720"
"Hjartagangráðar, framleiðsla","32500"
"Hjartagangráðar, viðgerð","33130"
"Hjálpartæki fyrir sjúka og fatlaða, heildsala","46460"
"Hjálpartæki fyrir sjúka og fatlaða, smásala","47740"
"Hjól fyrir járnbrautavagna, framleiðsla","30200"
"Hjól fyrir vélknúin farartæki, framleiðsla","29320"
"Hjólaskautar, framleiðsla","32300"
"Hjólaskautar, heildsala","46490"
"Hjólastólar, framleiðsla","30920"
"Hjólbarðar fyrir vélhjól, heild- og smásala","45400"
"Hjólbarðar, bílar, heildsala","45310"
"Hjólbarðar, bílar, smásala","45320"
"Hjólbarðar, framleiðsla","22110"
"Hjólbarðar, reiðhjól , framleiðsla","22110"
"Hjólbarðar, sólun","22110"
"Hjólbarðarþjónusta","45203"
"Hjólbarðaslöngur, framleiðsla","22110"
"Hjólbarðasólar, framleiðsla","22110"
"Hjólbörur, framleiðsla","28220"
"Hjólhýsastæði","55300"
"Hjólhýsi, framleiðsla","29200"
"Hjólhýsi, geymsla","52210"
"Hjólhýsi, heild- og smásala","45191"
"Hjólsagir, framleiðsla","28240"
"Hjónabandsmiðlun","96090"
"Hjúkrunarfræðingar, sjálfstætt starfandi","86909"
"Hjúkrunarheimili","87100"
"Hjúkrunarvistun","87100"
"Hjúkrunarvörur, heildsala","46460"
"Hjúkrunarvörur, smásala","47740"
"Hlaupabretti, framleiðsla","32300"
"Hleðslutæki fyrir rafhlöður, framleiðsla","27900"
"Hlerar úr málmi, framleiðsla","25120"
"Hlerar úr plasti, framleiðsla","22230"
"Hlið úr málmi, framleiðsla","25120"
"Hlífðarfatnaður, framleiðsla","32990"
"Hlífðargleraugu, framleiðsla","32500"
"Hljóðbækur, útgáfa","58110"
"Hljóðbönd, heildsala","46430"
"Hljóðbönd, óátekin, framleiðsla","26800"
"Hljóðbönd, smásala","47630"
"Hljóðdeyfar úr eldföstum leir, framl.","23200"
"Hljóðeinangrun bygginga","43290"
"Hljóðeinangrun, uppsetning","43290"
"Hljóðfærasmíði","32200"
"Hljóðfæraverslanir","47593"
"Hljóðfæraviðgerðir","95290"
"Hljóðfæri, framleiðsla","32200"
"Hljóðfæri, heildsala","46490"
"Hljóðfæri, smásala","47593"
"Hljóðkerfi, heildsala","46430"
"Hljóðkútar fyrir bíla, framleiðsla","29320"
"Hljóðkútar, ökutæki, framleiðsla","29320"
"Hljóðmagnarakerfi, framleiðsla","26400"
"Hljóðnemar, framleiðsla","26400"
"Hljóðritað efni, fjölföldun","18200"
"Hljóðritað efni, útgáfa","59200"
"Hljóðupptaka","59200"
"Hljóðupptökutæki, framleiðsla","26400"
"Hljóðver","59200"
"Hljómflutningstæki, framleiðsla","26400"
"Hljómflutningstæki, smásala","47430"
"Hljómplötur, fjölföldun","18200"
"Hljómplötur, upptaka","59200"
"Hljómplötuspilarar, framleiðsla","26400"
"Hljómplötuspilarar, heildsala","46430"
"Hljómplötuspilarar, smásala","47430"
"Hljómplötuútgáfa","59200"
"Hljómplötuverslanir","47630"
"Hljómsveitir","90010"
"Hljómtæki, viðgerðir","95210"
"Hnakkar, framleiðsla","15120"
"Hnattlíkön, framleiðsla","32990"
"Hnefaleikafélög","93120"
"Hnetur, ræktun","01250"
"Hnetur, vinnsla","10390"
"Hnetusmjör, framleiðsla","10890"
"Hnífapör úr plasti, framleiðsla","22290"
"Hnífapör, framleiðsla","25710"
"Hnífapör, smásala","47599"
"Hnífar til heimilisnota, heildsala","46490"
"Hnoðnaglar, framleiðsla","25930"
"Hnykkjarar","86909"
"Holleggir til læknisnota, framleiðsla","32500"
"Holræsi, viðhald","37000"
"Hópferðaakstur","49390"
"Hótel án veitingaþjónstu","55102"
"Hótel með veitingaþjónustu","55101"
"Hraðbankar, framleiðsla","26200"
"Hraðboðastarfsemi","53200"
"Hraðlestur, kennsla","85590"
"Hraðritunarvélar, framleiðsla","28230"
"Hraðritunarþjónusta","82990"
"Hráfosföt, framleiðsla","20150"
"Hrájárn, framleiðsla","24100"
"Hrákol, framleiðsla","19100"
"Hráolía, heildsala","46710"
"Hráolía, vinnsla","06100"
"Hráolíu- og jarðgasvinnsla, tengd þjónusta","09100"
